"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E14",44,"E",14,0.1880174291939,0.188235294117647,0.207843137254902,27.0745098039216,144,0,"",NA
"E14",45,"E",14,0.191830065359477,0.192156862745098,0.207843137254902,27.6235294117647,144,0,"",NA
"E14",46,"E",14,0.197739651416122,0.196078431372549,0.215686274509804,28.4745098039216,144,0,"",NA
"E14",47,"E",14,0.203295206971678,0.201960784313725,0.219607843137255,29.2745098039216,144,0,"",NA
"E14",48,"E",14,0.210539215686275,0.207843137254902,0.235294117647059,30.3176470588235,144,0,"",NA
"E14",49,"E",14,0.218572984749455,0.219607843137255,0.23921568627451,31.4745098039216,144,0,"",NA
"E14",50,"E",14,0.229956427015251,0.231372549019608,0.250980392156863,33.1137254901961,144,0,"",NA
"E14",51,"E",14,0.240631808278867,0.23921568627451,0.258823529411765,34.6509803921569,144,0,"",NA
"E14",52,"E",14,0.250871459694989,0.250980392156863,0.270588235294118,36.1254901960784,144,0,"",NA
"E14",53,"E",14,0.258415032679739,0.254901960784314,0.27843137254902,37.2117647058824,144,0,"",NA
"E14",54,"E",14,0.268572984749455,0.266666666666667,0.290196078431373,38.6745098039216,144,0,"",NA
"E14",55,"E",14,0.278131808278867,0.27843137254902,0.298039215686275,40.0509803921569,144,0,"",NA
"E14",56,"E",14,0.289651416122004,0.286274509803922,0.309803921568627,41.7098039215686,144,0,"",NA
"E14",57,"E",14,0.298502178649237,0.298039215686275,0.317647058823529,42.9843137254902,144,0,"",NA
"E14",58,"E",14,0.306971677559913,0.305882352941176,0.325490196078431,44.2039215686275,144,0,"",NA
"E14",59,"E",14,0.315141612200436,0.313725490196078,0.337254901960784,45.3803921568627,144,0,"",NA
"E14",60,"E",14,0.323366013071895,0.32156862745098,0.345098039215686,46.5647058823529,144,0,"",NA
"E14",61,"E",14,0.330174291938998,0.329411764705882,0.352941176470588,47.5450980392157,144,0,"",NA
"E15",0,"E",15,0.0873093681917211,0.0862745098039216,0.0941176470588235,12.5725490196078,144,0,"",NA
"E15",1,"E",15,0.0853758169934641,0.0862745098039216,0.0941176470588235,12.2941176470588,144,0,"",NA
"E15",2,"E",15,0.0850762527233115,0.0862745098039216,0.0901960784313725,12.2509803921569,144,0,"",NA
"E15",3,"E",15,0.0847494553376906,0.0862745098039216,0.0901960784313725,12.2039215686275,144,0,"",NA
"E15",4,"E",15,0.0844226579520697,0.0862745098039216,0.0901960784313725,12.156862745098,144,0,"",NA
"E15",5,"E",15,0.0838235294117647,0.0823529411764706,0.0901960784313725,12.0705882352941,144,0,"",NA
"E15",6,"E",15,0.0849673202614379,0.0862745098039216,0.0901960784313725,12.2352941176471,144,0,"",NA
"E15",7,"E",15,0.0843954248366013,0.0862745098039216,0.0901960784313725,12.1529411764706,144,0,"",NA
"E15",8,"E",15,0.0849673202614379,0.0862745098039216,0.0901960784313725,12.2352941176471,144,0,"",NA
"E15",9,"E",15,0.0850490196078431,0.0862745098039216,0.0941176470588235,12.2470588235294,144,0,"",NA
