"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","six_well_position","name","inducer","concentration_uM"
"J21",44,"J",21,0.31437908496732,0.313725490196078,0.36078431372549,45.2705882352941,144,0,"B3","ZBD","IPTG",50
"J21",45,"J",21,0.315958605664488,0.317647058823529,0.349019607843137,45.4980392156862,144,0,"B3","ZBD","IPTG",50
"J21",46,"J",21,0.318218954248366,0.317647058823529,0.364705882352941,45.8235294117647,144,0,"B3","ZBD","IPTG",50
"J21",47,"J",21,0.320234204793028,0.317647058823529,0.356862745098039,46.113725490196,144,0,"B3","ZBD","IPTG",50
"J21",48,"J",21,0.321269063180827,0.32156862745098,0.364705882352941,46.2627450980392,144,0,"B3","ZBD","IPTG",50
"J21",49,"J",21,0.324264705882353,0.32156862745098,0.368627450980392,46.6941176470588,144,0,"B3","ZBD","IPTG",50
"J21",50,"J",21,0.326225490196078,0.325490196078431,0.364705882352941,46.9764705882352,144,0,"B3","ZBD","IPTG",50
"J21",51,"J",21,0.327587145969499,0.325490196078431,0.36078431372549,47.1725490196078,144,0,"B3","ZBD","IPTG",50
"J21",52,"J",21,0.330065359477124,0.329411764705882,0.364705882352941,47.5294117647058,144,0,"B3","ZBD","IPTG",50
"J21",53,"J",21,0.331209150326797,0.329411764705882,0.376470588235294,47.6941176470588,144,0,"B3","ZBD","IPTG",50
"J21",54,"J",21,0.332135076252723,0.333333333333333,0.372549019607843,47.8274509803921,144,0,"B3","ZBD","IPTG",50
"J21",55,"J",21,0.335294117647059,0.333333333333333,0.384313725490196,48.2823529411764,144,0,"B3","ZBD","IPTG",50
"J21",56,"J",21,0.335729847494553,0.333333333333333,0.368627450980392,48.3450980392156,144,0,"B3","ZBD","IPTG",50
"J21",57,"J",21,0.338071895424836,0.337254901960784,0.372549019607843,48.6823529411764,144,0,"B3","ZBD","IPTG",50
"J21",58,"J",21,0.338970588235294,0.337254901960784,0.372549019607843,48.8117647058823,144,0,"B3","ZBD","IPTG",50
"J21",59,"J",21,0.340332244008714,0.341176470588235,0.376470588235294,49.0078431372549,144,0,"B3","ZBD","IPTG",50
"J21",60,"J",21,0.342075163398693,0.341176470588235,0.384313725490196,49.2588235294117,144,0,"B3","ZBD","IPTG",50
"J21",61,"J",21,0.343218954248366,0.343137254901961,0.380392156862745,49.4235294117647,144,0,"B3","ZBD","IPTG",50
"J21",62,"J",21,0.34537037037037,0.345098039215686,0.380392156862745,49.7333333333333,144,0,"B3","ZBD","IPTG",50
"J21",63,"J",21,0.346432461873638,0.345098039215686,0.380392156862745,49.8862745098039,144,0,"B3","ZBD","IPTG",50
"J3",0,"J",3,0.217075163398693,0.215686274509804,0.23921568627451,31.2588235294118,144,0,"B1","ZBD","IPTG",5
"J3",1,"J",3,0.215495642701525,0.215686274509804,0.23921568627451,31.0313725490196,144,0,"B1","ZBD","IPTG",5
"J3",2,"J",3,0.214678649237473,0.215686274509804,0.235294117647059,30.9137254901961,144,0,"B1","ZBD","IPTG",5
"J3",3,"J",3,0.213725490196079,0.211764705882353,0.235294117647059,30.7764705882353,144,0,"B1","ZBD","IPTG",5
"J3",4,"J",3,0.214351851851852,0.215686274509804,0.23921568627451,30.8666666666667,144,0,"B1","ZBD","IPTG",5
"J3",5,"J",3,0.215495642701525,0.215686274509804,0.243137254901961,31.0313725490196,144,0,"B1","ZBD","IPTG",5
"J3",6,"J",3,0.214324618736384,0.213725490196079,0.247058823529412,30.8627450980392,144,0,"B1","ZBD","IPTG",5
"J3",7,"J",3,0.215713507625272,0.215686274509804,0.235294117647059,31.0627450980392,144,0,"B1","ZBD","IPTG",5
"J3",8,"J",3,0.213671023965142,0.211764705882353,0.235294117647059,30.7686274509804,144,0,"B1","ZBD","IPTG",5
"J3",9,"J",3,0.215059912854031,0.215686274509804,0.235294117647059,30.9686274509804,144,0,"B1","ZBD","IPTG",5
"J3",10,"J",3,0.214950980392157,0.215686274509804,0.243137254901961,30.9529411764706,144,0,"B1","ZBD","IPTG",5
"J3",11,"J",3,0.216911764705882,0.215686274509804,0.243137254901961,31.2352941176471,144,0,"B1","ZBD","IPTG",5
"J3",12,"J",3,0.21593137254902,0.215686274509804,0.23921568627451,31.0941176470588,144,0,"B1","ZBD","IPTG",5
"J3",13,"J",3,0.218572984749455,0.215686274509804,0.23921568627451,31.4745098039216,144,0,"B1","ZBD","IPTG",5
"J3",14,"J",3,0.218600217864924,0.219607843137255,0.23921568627451,31.478431372549,144,0,"B1","ZBD","IPTG",5
"J3",15,"J",3,0.219281045751634,0.219607843137255,0.243137254901961,31.5764705882353,144,0,"B1","ZBD","IPTG",5
"J3",16,"J",3,0.219335511982571,0.219607843137255,0.23921568627451,31.5843137254902,144,0,"B1","ZBD","IPTG",5
"J3",17,"J",3,0.219771241830065,0.219607843137255,0.247058823529412,31.6470588235294,144,0,"B1","ZBD","IPTG",5
"J3",18,"J",3,0.220806100217865,0.219607843137255,0.247058823529412,31.7960784313726,144,0,"B1","ZBD","IPTG",5
"J3",19,"J",3,0.224373638344227,0.223529411764706,0.247058823529412,32.3098039215686,144,0,"B1","ZBD","IPTG",5
"J3",20,"J",3,0.224918300653595,0.223529411764706,0.258823529411765,32.3882352941177,144,0,"B1","ZBD","IPTG",5
"J3",21,"J",3,0.228839869281046,0.227450980392157,0.250980392156863,32.9529411764706,144,0,"B1","ZBD","IPTG",5
"J3",22,"J",3,0.230773420479303,0.231372549019608,0.247058823529412,33.2313725490196,144,0,"B1","ZBD","IPTG",5
"J3",23,"J",3,0.234558823529412,0.235294117647059,0.258823529411765,33.7764705882353,144,0,"B1","ZBD","IPTG",5
"J3",24,"J",3,0.236764705882353,0.237254901960784,0.270588235294118,34.0941176470589,144,0,"B1","ZBD","IPTG",5
"J3",25,"J",3,0.239324618736384,0.23921568627451,0.262745098039216,34.4627450980392,144,0,"B1","ZBD","IPTG",5
"J3",26,"J",3,0.243246187363835,0.243137254901961,0.258823529411765,35.0274509803922,144,0,"B1","ZBD","IPTG",5
"J3",27,"J",3,0.248665577342048,0.250980392156863,0.270588235294118,35.8078431372549,144,0,"B1","ZBD","IPTG",5
"J3",28,"J",3,0.252941176470589,0.250980392156863,0.274509803921569,36.4235294117647,144,0,"B1","ZBD","IPTG",5
"J3",29,"J",3,0.255065359477124,0.254901960784314,0.27843137254902,36.7294117647059,144,0,"B1","ZBD","IPTG",5
"J3",30,"J",3,0.262009803921569,0.262745098039216,0.286274509803922,37.7294117647059,144,0,"B1","ZBD","IPTG",5
"J3",31,"J",3,0.265141612200436,0.264705882352942,0.294117647058823,38.1803921568628,144,0,"B1","ZBD","IPTG",5
"J3",32,"J",3,0.269771241830066,0.270588235294118,0.290196078431373,38.8470588235295,144,0,"B1","ZBD","IPTG",5
"J3",33,"J",3,0.273011982570806,0.274509803921569,0.294117647058823,39.3137254901961,144,0,"B1","ZBD","IPTG",5
"J3",34,"J",3,0.275544662309369,0.27843137254902,0.294117647058823,39.6784313725491,144,0,"B1","ZBD","IPTG",5
